Date,CLOSE,HIGH,LOW,OPEN,VOLUME
2012-02-13,688.103,,,,
2012-02-14,688.089,,,,
2012-02-15,688.103,,,,
2012-02-16,688.117,,,,
2012-02-17,688.137,,,,
2012-02-20,688.141,,,,
2012-02-21,688.151,,,,
2012-02-22,688.151,,,,
2012-02-23,688.131,,,,
2012-02-24,688.131,,,,
2012-02-27,688.117,,,,
2012-02-28,688.137,,,,
2012-02-29,688.158,,,,
2012-03-01,688.179,,,,
2012-03-02,688.192,,,,
2012-03-05,688.199,,,,
2012-03-06,688.199,,,,
2012-03-07,688.199,,,,
2012-03-08,688.199,,,,
2012-03-09,688.199,,,,
2012-03-12,688.192,,,,
2012-03-13,688.192,,,,
2012-03-14,688.192,,,,
2012-03-15,688.179,,,,
2012-03-16,688.186,,,,
2012-03-19,688.186,,,,
2012-03-20,688.192,,,,
2012-03-21,688.206,,,,
2012-03-22,688.22,,,,
2012-03-23,688.22,,,,
2012-03-26,688.22,,,,
2012-03-27,688.22,,,,
2012-03-28,688.234,,,,
2012-03-29,688.248,,,,
2012-03-30,688.234,,,,
2012-03-31,688.235,,,,
2012-04-02,688.254,,,,
2012-04-03,688.254,,,,
2012-04-04,688.254,,,,
2012-04-05,688.254,,,,
2012-04-09,688.261,,,,
2012-04-10,688.227,,,,
2012-04-11,688.248,,,,
2012-04-12,688.234,,,,
2012-04-13,688.248,,,,
2012-04-16,688.254,,,,
2012-04-17,688.254,,,,
2012-04-18,688.268,,,,
2012-04-19,688.268,,,,
2012-04-20,688.275,,,,
2012-04-23,688.275,,,,
2012-04-24,688.254,,,,
2012-04-25,688.254,,,,
2012-04-26,688.254,,,,
2012-04-27,688.254,,,,
2012-04-30,688.261,,,,
2012-05-01,688.282,,,,
2012-05-02,688.282,,,,
2012-05-03,688.282,,,,
2012-05-04,688.282,,,,
2012-05-07,688.303,,,,
2012-05-08,688.289,,,,
2012-05-09,688.289,,,,
2012-05-10,688.275,,,,
2012-05-11,688.282,,,,
2012-05-14,688.282,,,,
2012-05-15,688.289,,,,
2012-05-16,688.303,,,,
2012-05-17,688.303,,,,
2012-05-18,688.316,,,,
2012-05-21,688.316,,,,
2012-05-22,688.316,,,,
2012-05-23,688.316,,,,
2012-05-24,688.31,,,,
2012-05-25,688.323,,,,
2012-05-28,688.327,,,,
2012-05-29,688.337,,,,
2012-05-30,688.344,,,,
2012-05-31,688.351,,,,
2012-06-01,688.358,,,,
2012-06-04,688.358,,,,
2012-06-05,688.358,,,,
2012-06-06,688.344,,,,
2012-06-07,688.365,,,,
2012-06-08,688.365,,,,
2012-06-11,688.365,,,,
2012-06-12,688.351,,,,
2012-06-13,688.358,,,,
2012-06-14,688.344,,,,
2012-06-15,688.358,,,,
2012-06-18,688.378,,,,
2012-06-19,688.392,,,,
2012-06-20,688.392,,,,
2012-06-21,688.392,,,,
2012-06-22,688.399,,,,
2012-06-25,688.399,,,,
2012-06-26,688.385,,,,
2012-06-27,688.392,,,,
2012-06-28,688.427,,,,
2012-06-29,688.413,,,,
2012-06-30,688.414,,,,
2012-07-02,688.419,,,,
2012-07-03,688.433,,,,
2012-07-04,688.434,,,,
2012-07-05,688.453,,,,
2012-07-06,688.44,,,,
2012-07-09,688.44,,,,
2012-07-10,688.426,,,,
2012-07-11,688.433,,,,
